,sku,is_in_stock,name,price,special_price,short_description,free_colors,raw_materials,image_dimension,description,Width,Height,Length,weight,collection,Images1,url_key,visibility,tax_class_name,manufacturer,news_from_date,news_to_date,Images2,link_url,categories1,categories2,categories3
0,TOV-A2044-C,1,JULIA CREAM VELVET WINGBACK CHAIR BY INSPIRE ME! HOME DECOR,$499,0,"Meet Julia, the glamorous wingback chair brought to you by Inspire Me Home Decor and TOV. With its high back, elegantly curved silhouette and brushed gold legs, we’ve given this classic style a modern twist. Available in multiple color options.",Cream,,https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/03/TOV-A2044-C-D.jpg,"FEATURES
Handcrafted by skilled furniture artisans
Sumptuous velvet upholstery
Gold legs
High back and curved silhouette
Part of the Inspire Me Home Decor collection
Fabric swatch available",74.23500000000001,124.95,84.77000000000001,36.4lbs,collection,https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/02/A2044-C_5_TOV2019.jpg,TOV-A2044-C JULIA CREAM VELVET WINGBACK CHAIR BY INSPIRE ME! HOME DECOR,"Catalog, Search",Taxable Goods,مستوردة,07/05/2021,09/03/2021,"https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/03/TOV-A2044-C-MAIN.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/02/A2044-C_TOV2019-1.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/02/A2044-C_1_TOV2019.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/02/A2044-C_2_TOV2019.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/02/A2044-C_3_TOV2019.jpg",https://tovfurniture.com/product/julia-black-wingback-chair-by-inspire-me-home-decor/, Inspire Me! Home Décor , Julia Cream Velvet Wingback Chair by Inspire Me! Home Decor,
1,TOV-A2046-GR,1,JULIA GREY WINGBACK CHAIR BY INSPIRE ME! HOME DECOR,$499,0,"Meet Julia, the glamorous wingback chair brought to you by Inspire Me Home Decor and TOV. With its high back, elegantly curved silhouette and brushed gold legs, we’ve given this classic style a modern twist. Available in multiple color options.",Grey,,https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/03/TOV-A2046-GR-D.jpg,"FEATURES
Handmade by skilled furniture craftsmen
Sumptuous velvet upholstery
Gold legs
High back and curved silhouette
Fabric swatch available
Part of the Inspire Me! Home Decor collection",74.23500000000001,124.95,84.77000000000001,36.4lbs,collection,https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/12/TOV-A2046-GR.jpg,TOV-A2046-GR JULIA GREY WINGBACK CHAIR BY INSPIRE ME! HOME DECOR,"Catalog, Search",Taxable Goods,مستوردة,07/05/2021,09/03/2021,"https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/12/TOV-A2046-GR-1.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/12/TOV-A2046-GR-2.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/12/TOV-A2046-GR-3.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/12/TOV-A2046-GR-4.jpg",https://tovfurniture.com/product/julia-black-wingback-chair-by-inspire-me-home-decor/, Inspire Me! Home Décor , Julia Grey Wingback Chair by Inspire Me! Home Decor,
2,TOV-A2045-N,1,JULIA NAVY VELVET WINGBACK CHAIR BY INSPIRE ME! HOME DECOR,$499,0,"Meet Julia, the glamorous wingback chair brought to you by Inspire Me Home Decor and TOV. With its high back, elegantly curved silhouette and brushed gold legs, we’ve given this classic style a modern twist. Available in multiple color options.",Navy,,https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/03/TOV-A2045-N-D.jpg,"FEATURES
Handcrafted by skilled furniture artisans
Sumptuous velvet upholstery
Gold legs
High back and curved silhouette
Part of the Inspire Me Home Decor collection
Fabric swatch available",74.23500000000001,124.95,84.77000000000001,36.4lbs,collection,https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/02/A2045-N_4_TOV2019.jpg,TOV-A2045-N JULIA NAVY VELVET WINGBACK CHAIR BY INSPIRE ME! HOME DECOR,"Catalog, Search",Taxable Goods,مستوردة,07/05/2021,09/03/2021,"https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/02/A2045-N_TOV2019.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/02/A2045-N_1_TOV2019.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/02/A2045-N_2_TOV2019.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/02/A2045-N_3_TOV2019.jpg",https://tovfurniture.com/product/julia-black-wingback-chair-by-inspire-me-home-decor/, Inspire Me! Home Décor , Julia Navy Velvet Wingback Chair by Inspire Me! Home Decor,
3,TOV-IHS44150,1,JULIA BLACK WINGBACK CHAIR BY INSPIRE ME! HOME DECOR,$499,0,"Meet Julia, the glamorous wingback chair brought to you by Inspire Me! Home Décor and TOV. With its high back, elegantly curved silhouette and brushed gold legs, we’ve given this classic style a modern twist. Available in multiple color options.",Black,,https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2021/06/TOV-IHS44150-5.jpg,"FEATURES
Handmade by skilled furniture craftsmen
Sumptuous velvet upholstery
Gold legs
High back and curved silhouette
Fabric swatch available
Part of the Inspire Me! Home Decor collection",74.23500000000001,124.95,84.77000000000001,36.4lbs,collection,https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2021/06/TOV-IHS44150.jpg,TOV-IHS44150 JULIA BLACK WINGBACK CHAIR BY INSPIRE ME! HOME DECOR,"Catalog, Search",Taxable Goods,مستوردة,07/05/2021,09/03/2021,"https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2021/06/TOV-IHS44150-1.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2021/06/TOV-IHS44150-2.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2021/06/TOV-IHS44150-3.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2021/06/TOV-IHS44150-4.jpg",https://tovfurniture.com/product/julia-black-wingback-chair-by-inspire-me-home-decor/, Inspire Me! Home Décor , Julia Black Wingback Chair by Inspire Me! Home Decor,
4,TOV-L6124,1,KENNEDY NAVY SWIVEL CHAIR,$519,0,"The minimalistic Kennedy swivel chair is versatile and stylish. A comfortable foam fill makes it as plush and inviting as it looks, while the solid wood frame and legs set a sturdy foundation. This eye-catching chair will add a pop of style to any space. Available in several sumptuous velvet color options.",Navy,Velvet,https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2020/05/TOV-L6124-D.jpg,"FEATURES
Handmade by skilled furniture craftsmen
Swivel chair with base
Soft and sumptuous velvet upholstery available in multiple colors
Removable seat cushion
Ships assembled
Spring suspension provides maximum support
Fabric swatch available",73.5,77.17500000000001,72.275,65.7lbs,collection,https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/02/TOV-L6126-TOV-L6124.jpg,TOV-L6124 KENNEDY NAVY SWIVEL CHAIR,"Catalog, Search",Taxable Goods,مستوردة,07/05/2021,09/03/2021,"https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/02/TOV-L6124-5-1.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/02/TOV-L6124-1-1.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/02/TOV-L6124-2-1.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/02/TOV-L6124-3-1.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/02/TOV-L6124-4-1.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/02/TOV-L6124-6.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/02/TOV-L6126-5-1.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2021/07/TOV-L6124-360.jpg",https://tovfurniture.com/product/kennedy-forest-green-swivel-chair/, Accent Chairs , Kennedy Navy Swivel Chair,
5,TOV-L6125,1,KENNEDY GREY SWIVEL CHAIR,$519,0,"The minimalistic Kennedy swivel chair is versatile and stylish. A comfortable foam fill makes it as plush and inviting as it looks, while the solid wood frame and legs set a sturdy foundation. This eye-catching chair will add a pop of style to any space. Available in several sumptuous velvet color options.",Grey,Velvet,https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2020/05/TOV-L6125-D.jpg,"FEATURES
Handmade by skilled furniture craftsmen
Swivel chair with base
Soft and sumptuous velvet upholstery available in multiple colors
Removable seat cushion
Ships assembled
Spring suspension provides maximum support
Fabric swatch available",73.5,77.17500000000001,72.275,65.7lbs,collection,https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/02/TOV-L6144-TOV-L6125.jpg,TOV-L6125 KENNEDY GREY SWIVEL CHAIR,"Catalog, Search",Taxable Goods,مستوردة,07/05/2021,09/03/2021,"https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/02/TOV-L6125-5-1.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/02/TOV-L6125-1-2.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/02/TOV-L6125-3-1.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/02/TOV-L6125-2-1.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/02/TOV-L6144-6-1.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2021/07/TOV-L6125-360.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/02/TOV-L6125-6.jpg",https://tovfurniture.com/product/kennedy-forest-green-swivel-chair/, Accent Chairs , Kennedy Grey Swivel Chair,
6,TOV-L6145,1,KENNEDY BLACK SWIVEL CHAIR,$519,0,"The minimalistic Kennedy swivel chair is versatile and stylish. A comfortable foam fill makes it as plush and inviting as it looks, while the solid wood frame and legs set a sturdy foundation. This eye-catching chair will add a pop of style to any space. Available in several sumptuous velvet color options.",Black,Velvet,https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2020/05/TOV-L6145-D.jpg,"FEATURES
Handmade by skilled furniture craftsmen
Swivel chair with base
Soft and sumptuous velvet upholstery available in multiple colors
Removable seat back cushion
Ships assembled
Spring suspension provides maximum support
Fabric swatch available",73.5,77.17500000000001,72.275,65.7lbs,collection,https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/02/TOV-L6145-3.jpg,TOV-L6145 KENNEDY BLACK SWIVEL CHAIR,"Catalog, Search",Taxable Goods,مستوردة,07/05/2021,09/03/2021,"https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/02/L6145_1_TOV2019.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/02/TOV-L6145-2-1.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/02/TOV-L6145-4-1.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/02/TOV-L6145-5-1.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2019/02/TOV-L6145-6-1.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2021/07/TOV-L6145-360.jpg",https://tovfurniture.com/product/kennedy-forest-green-swivel-chair/, Accent Chairs , Kennedy Black Swivel Chair,
7,TOV-S6493,1,KENNEDY BLUSH SWIVEL CHAIR,$519,0,"The minimalistic Kennedy swivel chair is versatile and stylish. A comfortable foam fill makes it as plush and inviting as it looks, while the solid wood frame and legs set a sturdy foundation. This eye-catching chair will add a pop of style to any space. Available in several sumptuous velvet color options.",Blush,Velvet,https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2020/05/TOV-S6493-D-1.jpg,"FEATURES
Handmade by skilled furniture craftsmen
Swivel chair with base
Soft and sumptuous velvet upholstery available in multiple colors
Removable seat cushion
Ships assembled
Spring suspension provides maximum support
Fabric swatch available",73.5,77.17500000000001,72.275,65.7lbs,collection,https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2020/05/TOV-S6493-TOV-L6491-3.jpg,TOV-S6493 KENNEDY BLUSH SWIVEL CHAIR,"Catalog, Search",Taxable Goods,مستوردة,07/05/2021,09/03/2021,"https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2020/05/TOV-S6493-1.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2020/05/TOV-S6493-2.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2020/05/TOV-S6493-3.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2020/05/TOV-S6493-4.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2021/07/TOV-S6493-360.jpg",https://tovfurniture.com/product/kennedy-forest-green-swivel-chair/, Accent Chairs , Kennedy Blush Swivel Chair,
8,TOV-S44126,1,KENNEDY FOREST GREEN SWIVEL CHAIR,$519,0,"The minimalistic Kennedy swivel chair is versatile and stylish. A comfortable foam fill makes it as plush and inviting as it looks, while the solid wood frame and legs set a sturdy foundation. This eye-catching chair will add a pop of style to any space. Available in several sumptuous velvet color options.",Forest Green,Velvet,https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2021/04/TOV-S44126-D.jpg,"FEATURES
Handmade by skilled furniture craftsmen
Swivel chair with base
Soft and sumptuous velvet upholstery available in multiple colors
Removable seat back cushion
Ships assembled
Spring suspension provides maximum support
Fabric swatch available.",73.5,77.17500000000001,72.275,65.7lbs,collection,https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2021/04/TOV-S44126.jpg,TOV-S44126 KENNEDY FOREST GREEN SWIVEL CHAIR,"Catalog, Search",Taxable Goods,مستوردة,07/05/2021,09/03/2021,"https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2021/06/TOV-S44126-main.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2021/04/TOV-S44126-2.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2021/04/TOV-S44126-3.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2021/04/TOV-S44126-4.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2021/07/TOV-S44126-360.jpg",https://tovfurniture.com/product/kennedy-forest-green-swivel-chair/, Accent Chairs , Kennedy Forest Green Swivel Chair,
9,TOV-S44151,1,LONDON BLACK PLEATED SWIVEL CHAIR,$499,0,"Trendy, comfortable and fabulously chic, the London swivel chair is here to impress. Its sturdy kiln-dried pine frame and high-density foam fill offer comfort and durability and its plush velvet upholstery completes the design. Available in multiple color options to complement your space.",Black,,https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2021/06/TOV-S44151-D.jpg,"FEATURES
Handmade by skilled furniture craftsmen
Trendy, pleated design
Available in several beautiful velvets
Kiln-dried Pine frame with webbing support
Ships fully assembled
Fabric swatch available",__EMPTY__VALUE__,__EMPTY__VALUE__,__EMPTY__VALUE__,49.8lbs,collection,https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2021/06/TOV-S44151.jpg,TOV-S44151 LONDON BLACK PLEATED SWIVEL CHAIR,"Catalog, Search",Taxable Goods,مستوردة,07/05/2021,09/03/2021,"https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2021/06/TOV-S44151-1.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2021/06/TOV-S44151-2.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2021/06/TOV-S44151-3.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2021/06/TOV-S44151-4.jpg, https://tov-stage.s3.us-west-1.amazonaws.com/wp-content/uploads/2021/06/TOV-S44151-360.jpg",https://tovfurniture.com/product/london-blue-pleated-swivel-chair/, Accent Chairs , London Black Pleated Swivel Chair,
